rand,select,common_name,scientific_name,group,state_status,federal_status,global_rank,state_rank,global_rank_2,plan_date,rpn,fws_exp,other_fed_exp,state_exp,total_exp,years_rep,max_exp,median_exp,rpn_sort
0.740503254,0,Black Lace Cactus,Echinocereus reichenbachii var. albertii,Plant,Endangered,Endangered,G5T1Q,S1,5,,,,,,,,,,
0.797504694,0,Bracted Twistflower,Streptanthus bracteatus,Plant,,Candidate,G1G2,S1S2,1.5,,,,,,,,,,
0.403963967,0,Bunched Cory Cactus,Coryphantha ramillosa ssp. ramillosa,Plant,Threatened,Threatened,G2G3T2T3,S2S3,2.5,,,,,,,,,,
0.244688534,0,Chisos Mountains Hedgehog Cactus,Echinocereus chisoensis var. chisoensis,Plant,Threatened,Threatened,G2T1,S1,2,,,,,,,,,,
0.661013875,0,Davis' Green Pitaya,Echinocereus davisii,Plant,Endangered,Endangered,G1,S1,1,,,,,,,,,,
0.849191027,0,Earth Fruit,Geocarpon minimum,Plant,Threatened,Threatened,G2,S1,2,1993/07/26 00:00:00,13,952719,39068,115990,1107777,15,514400,20000,13
0.555511629,0,Guadalupe Fescue,Festuca ligulata,Plant,,Endangered,G1,S1,1,,,,,,,,,,
0.783100309,0,Johnston's Frankenia,Frankenia johnstonii,Plant,Delisted,Delisted,G3,S3,3,1988/05/24 00:00:00,14,378000,230081,62654,670735,15,233500,23700,14
0.668182899,0,Hinckley's Oak,Quercus hinckleyi,Plant,Threatened,Threatened,G2,S2,2,1992/09/30 00:00:00,8,15305,100,13950,29355,12,7600,500,8
0.354156277,0,Large-fruited Sand-verbena,Abronia macrocarpa,Plant,Endangered,Endangered,G2,S2,2,1992/09/30 00:00:00,8,137700,6050,157898,301648,15,91580,9900,8
0.877492865,0,Little Aguja Pondweed,Potamogeton clystocarpus,Plant,Endangered,Endangered,G1,S1,1,1994/06/20 00:00:00,5,13600,0,13750,27350,12,6750,2000,5
0.037402882,,Lloyd's Mariposa Cactus,Sclerocactus mariposensis,Plant,Threatened,Threatened,G2,S2,2,,,,,,,,,,
0.07747634,,Navasota Ladies'-tresses,Spiranthes parksii,Plant,Endangered,Endangered,G3,S3,3,,,391200,438496,33539,863235,15,250680,37020,
0.581097078,,Neches River Rose-mallow,Hibiscus dasycalyx,Plant,Threatened,Threatened,G1,S1,1,,UNK,36000,400,26255,62655,2,41555,31327.5,
0.883434921,,Nellie's Cory Cactus,Escobaria minima,Plant,Endangered,Endangered,G1,S1,1,,,,,,,,,,
0.674057142,,Pecos Sunflower,Helianthus paradoxus,Plant,Threatened,Threatened,G2,S1,2,2005/09/15 00:00:00,8,901334,326713,23334,1251381,15,282242,69400,8
0.678607385,,Slender Rushpea,Hoffmannseggia tenella,Plant,Endangered,Endangered,G1S1,S1,1,1988/09/13 00:00:00,2,351250,98255,26850,476355,15,93100,24291,2
0.165147098,,Sneed's Pincushion Cactus,Escobaria sneedii var. sneedii,Plant,Endangered,Endangered,G2T2,S2,2.5,,,,,,,,,,
0.324266971,,South Texas Ambrosia,Ambrosia cheiranthifolia,Plant,Endangered,Endangered,G2,S2,2,,8,443002,389817,30816,863635,15,254100,47452,8
0.579780443,,Star Cactus,Astrophytum asterias,Plant,Endangered,Endangered,G1,S1,1,2003/09/19 00:00:00,2C,926600,269114,401292,1597006,15,537156,53416,2
